"id","year","state_name","state_code","type_residence","total_hh","male_weavers","male_allied_weavers","female_weavers","female_allied_weavers","transg_weaver","transg_allied_weaver","hh_antodaya_card","hh_no_anotadaya_card","kacha_house","semi_pucca_house","pucca_house","own_residency","rent_residency","other_residency","income_less_5000","income_btw_5001_and_10000","income_btw_10001_15000","income_btw_15001_20000","income_btw_20001_25000","income_btw_25001_50000","income_btw_50000_100000","income_above_100000","income_less_5000_hl_related","income_btw_5001_10000_hl_related","income_btw_10001_15000_hl_related","income_btw_15001_20000_hl_related","income_btw_20001_25000_hl_related","income_btw_25001_50000_hl_related","income_btw_50001_100000_hl_related","income_above_100000_hl_related","debt_due_to_hl","debt_due_to_other_purposes","debt_due_to_hl_and_other_purposes","loan_from_cooperative_societies","loan_from_commercial_banks","loan_from_friends_or_relatives","loan_from_govt","loan_from_master_weaver","loan_from_money_lender","loan_from_other_sources","loan_from_shg","avg_hh_size","yarn_cotton_1_20","yarn_cotton_21_40","yarn_cotton_41_80","yarn_cotton_above_80","yarn_viscose_blends","yarn_muga_silk","yarn_eric_silk","yarn_mulberry_silk","yarn_tussar_silk","yarn_linen","yarn_wool","yarn_acrylic_wool","yarn_polyester_blends","yarn_jute","yarn_zari","other_yarns ","input_hank_yarn_open_market","input_hank_yarn_master_weavers_group","input_hank_yarn_cooperative_society","input_hank_yarn_national_handloom_development_corp","input_hank_yarn_khadi_village_industries_commission_or_board","input_other_types_of_hank_yarn","source_dyes_chemicals_open_market","source_dyes_chemicals_master_weavers_group","source_dyes_chemicals_cooperative_society","source_dyes_chemicals_national_handloom_development_corp","source_dyes_chemicals_khadi_village_industries_commission","source_dyes_chemicals_other_types","input_dyed_yarn_open_market","input_dyed_yarn_master_weavers_group","input_dyed_yarn_cooperative_society","input_dyed_yarn_national_or_state_handloom_development_corp","input_dyed_yarn_khadi_village_industries_commission","input_dyed_yarn_other_types_of_dyed_yarn","using_azo_free_dye","using_natural_dye","using_other_type_of_dye","using_dye_of_any_type","sales_local_market","sales_master_weaver_group","sales_cooperative_society","sales_organized_fairs_or_exhibition","sales_export","sales_ecommerce","sales_other_sources","members_cooperative_society","members_shg_or_joint_liability_group","hl_hh_members_of_producer_company"
13,"2019-20","Chhattisgarh",22,"Urban",3593.0,1797.0,313.0,657.0,1048.0,0.0,0.0,614.0,2979.0,2912.0,482.0,199.0,3465.0,121.0,7.0,3526.0,43.0,22.0,1.0,1.0,0.0,0.0,0.0,3541.0,32.0,19.0,1.0,0.0,0.0,0.0,0.0,13.0,14.0,1.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,5.0,779.0,941.0,338.0,157.0,0.0,7.0,3.0,2.0,1384.0,6.0,1.0,12.0,474.0,1.0,2.0,116.0,234.0,307.0,455.0,9.0,0.0,33.0,24.0,9.0,378.0,1.0,0.0,18.0,265.0,13.0,2079.0,145.0,1.0,18.0,8.0,3190.0,221.0,280.0,430.0,398.0,2959.0,34.0,1.0,1.0,38.0,2474.0,1612.0,1565.0
14,"2019-20","Delhi",7,"Rural",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"2019-20","Delhi",7,"Urban",4053.0,1565.0,501.0,1671.0,548.0,0.0,0.0,475.0,3578.0,4.0,239.0,3810.0,3728.0,321.0,4.0,3556.0,493.0,3.0,1.0,0.0,0.0,0.0,0.0,3753.0,299.0,1.0,0.0,0.0,0.0,0.0,0.0,714.0,0.0,0.0,2.0,0.0,31.0,0.0,679.0,2.0,0.0,0.0,4.0,3860.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3193.0,9.0,59.0,14.0,0.0,0.0,297.0,0.0,1.0,0.0,0.0,0.0,1166.0,1.0,0.0,11.0,0.0,0.0,4043.0,69.0,1.0,1.0,3715.0,21.0,72.0,3.0,2.0,2.0,271.0,10.0,10.0,12.0
16,"2019-20","Goa",30,"Rural",24.0,1.0,0.0,19.0,4.0,0.0,0.0,0.0,24.0,1.0,6.0,17.0,24.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,1.0,21.0,5.0,1.0,21.0,11.0,0.0,0.0
17,"2019-20","Goa",30,"Urban",2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0
18,"2019-20","Gujarat",24,"Rural",8109.0,4711.0,90.0,3539.0,105.0,1.0,0.0,3938.0,4171.0,1233.0,4878.0,1998.0,7464.0,202.0,443.0,6580.0,1118.0,95.0,82.0,64.0,34.0,133.0,3.0,6765.0,1019.0,86.0,70.0,28.0,104.0,37.0,0.0,66.0,26.0,4.0,3.0,8.0,2.0,38.0,7.0,7.0,5.0,0.0,3.0,4218.0,747.0,319.0,927.0,117.0,179.0,105.0,779.0,71.0,40.0,924.0,263.0,230.0,43.0,520.0,58.0,3274.0,203.0,361.0,400.0,27.0,194.0,3092.0,278.0,126.0,133.0,44.0,34.0,335.0,124.0,233.0,44.0,28.0,59.0,1647.0,4375.0,636.0,1620.0,6653.0,649.0,760.0,675.0,34.0,27.0,312.0,1386.0,465.0,308.0
19,"2019-20","Gujarat",24,"Urban",2100.0,976.0,98.0,952.0,129.0,0.0,0.0,575.0,1525.0,140.0,1539.0,421.0,1744.0,124.0,232.0,1229.0,468.0,321.0,75.0,0.0,2.0,1.0,4.0,1302.0,768.0,18.0,7.0,0.0,1.0,0.0,4.0,5.0,8.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,548.0,58.0,31.0,152.0,78.0,40.0,169.0,614.0,50.0,0.0,162.0,34.0,133.0,0.0,169.0,21.0,621.0,258.0,175.0,70.0,2.0,66.0,799.0,65.0,11.0,23.0,4.0,7.0,139.0,140.0,71.0,5.0,0.0,3.0,223.0,1059.0,238.0,653.0,1323.0,470.0,288.0,116.0,10.0,7.0,73.0,508.0,193.0,167.0
20,"2019-20","Haryana",6,"Rural",224.0,28.0,0.0,196.0,2.0,0.0,0.0,20.0,204.0,1.0,22.0,201.0,224.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,1.0,32.0,32.0,0.0,32.0,34.0,0.0,0.0,0.0,0.0,34.0,31.0,0.0,0.0,0.0,0.0,31.0,190.0,35.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
21,"2019-20","Haryana",6,"Urban",25184.0,10095.0,1340.0,4094.0,9786.0,1.0,0.0,115.0,25069.0,5115.0,5452.0,14617.0,14747.0,10348.0,89.0,23765.0,1355.0,49.0,4.0,4.0,3.0,0.0,4.0,23791.0,1343.0,45.0,3.0,0.0,1.0,0.0,1.0,16.0,68.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,0.0,4.0,24819.0,139.0,21.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,15.0,5.0,8.0,5.0,1.0,8.0,24884.0,93.0,573.0,548.0,7.0,109.0,383.0,20.0,4.0,4.0,1.0,90.0,343.0,37.0,4.0,5.0,0.0,218.0,24862.0,470.0,50.0,128.0,24983.0,74.0,329.0,12.0,19.0,3.0,249.0,757.0,424.0,421.0
22,"2019-20","Himachal Pradesh",2,"Rural",13260.0,3420.0,91.0,9502.0,360.0,0.0,0.0,1822.0,11438.0,5288.0,6525.0,1447.0,12964.0,116.0,180.0,12349.0,762.0,96.0,33.0,11.0,7.0,1.0,1.0,12956.0,253.0,36.0,12.0,3.0,0.0,0.0,0.0,57.0,161.0,5.0,14.0,12.0,1.0,32.0,2.0,1.0,0.0,0.0,5.0,214.0,7.0,2.0,4.0,5.0,3.0,5.0,2.0,1.0,11.0,12672.0,111.0,17.0,9.0,5.0,48.0,12338.0,77.0,135.0,8.0,4.0,397.0,1010.0,2.0,21.0,0.0,1.0,46.0,1353.0,5.0,113.0,9.0,0.0,42.0,1095.0,9580.0,529.0,2407.0,12508.0,115.0,179.0,274.0,4.0,4.0,576.0,382.0,1050.0,68.0
